solver,agents,solved_instances,solve_time_mean_s,solve_time_std_s,cnf_build_mean_s,cnf_build_std_s,mdd_build_mean_s,mdd_build_std_s,sat_solver_mean_s,sat_solver_std_s,cnf_variables_mean,cnf_variables_std,cnf_clauses_mean,cnf_clauses_std,total_solve_time_s,total_cnf_build_time_s,total_mdd_build_time_s,total_sat_solver_time_s,total_zones_used,total_zones_expanded,total_waiting_attempts
LNS-SAT,10,262,1.1147565572519085,7.744587465737953,0.5110517709923663,3.862436447519498,5.687022900763359e-07,2.2885904848950066e-06,0.5125266832061068,3.6569836649152165,6561.675572519084,41066.842704862174,392575.0534351145,2631511.607759271,292.066218,133.89556399999998,0.000149,134.281991,985.0,637.0,2070.0
LNS-SAT,20,149,2.5254979798657713,18.199250133441907,1.492213087248322,11.16469099276221,1.8456375838926171e-06,8.192093775855647e-06,0.9331929865771811,6.552581641596087,12974.342281879195,72792.46038210383,678842.0,4551312.20546449,376.29919899999993,222.33974999999998,0.00027499999999999996,139.04575499999999,1656.0,1284.0,3628.0
LNS-SAT,50,19,29.16031773684211,31.63998637607459,23.457077157894737,26.503317847706924,4.147368421052631e-05,3.458988051143013e-05,4.94182,4.9758506775483555,162908.52631578947,132967.6005829075,4428220.421052632,4126483.299657729,554.0460370000001,445.684466,0.000788,93.89458,303.0,175.0,730.0
LNS-SAT,100,1,526.626906,0.0,133.50333600000002,0.0,1.3e-05,0.0,259.207117,0.0,159551.0,0.0,8239534.0,0.0,526.626906,133.50333600000002,1.3e-05,259.207117,4.0,1.0,10.0
MDD-SAT,10,172,7.174879941860465,14.293387803124364,5.4422619418604645,11.895890913785045,9.069767441860465e-07,1.2679218207938583e-06,1.4148088023255816,2.1310742923196715,18938.808139534885,20877.352719760293,1744138.0813953488,2646024.0143514792,1234.07935,936.0690539999999,0.000156,243.34711400000003,152.0,151.0,152.0
MDD-SAT,20,109,10.391385788990828,23.797411397088357,7.816609266055044,18.60210537274597,1.7339449541284403e-06,1.1465320813146543e-06,2.2005489082568808,8.20467386154751,25500.825688073393,22261.37071409874,1520819.2752293579,2580993.1029945845,1132.6610510000003,852.0104099999999,0.00018899999999999999,239.859831,109.0,109.0,109.0
MDD-SAT,50,17,35.16192594117647,15.03929120389168,30.94058594117647,13.577598917199175,1.7647058823529412e-06,5.455069703232767e-07,3.3311507647058827,1.202452057847607,72460.82352941176,16839.884389834027,3456129.2352941176,1150897.5881514254,597.752741,525.989961,3e-05,56.629563000000005,18.0,17.0,18.0
MDD-SAT,100,1,585.1994109999999,0.0,136.639071,0.0,3e-06,0.0,283.158585,0.0,155613.0,0.0,8228035.0,0.0,585.1994109999999,136.639071,3e-06,283.158585,1.0,1.0,1.0
LNS++1,10,262,0.6521612175572519,3.6022400402290833,0.3394016106870229,2.1267257438998213,3.893129770992366e-07,1.1694098406152478e-06,0.2309188396946565,1.3629952814510946,2712.6030534351144,14754.362482149041,204524.66412213742,1188744.4850264948,170.86623899999998,88.923222,0.000102,60.500736,805.0,631.0,1705.0
LNS++1,20,160,3.284344625,19.894645936196692,1.9769059062500003,12.233592976796109,8.4375e-07,2.134674667835826e-06,1.1229617125,8.035809892304206,8494.675,43359.58545459557,547445.925,3202390.737485802,525.49514,316.30494500000003,0.000135,179.67387399999998,1676.0,1369.0,3663.0
