solver,map,solved_instances,solve_time_mean_s,solve_time_std_s,cnf_build_mean_s,cnf_build_std_s,mdd_build_mean_s,mdd_build_std_s,sat_solver_mean_s,sat_solver_std_s,cnf_variables_mean,cnf_variables_std,cnf_clauses_mean,cnf_clauses_std,total_solve_time_s,total_cnf_build_time_s,total_mdd_build_time_s,total_sat_solver_time_s,total_zones_used,total_zones_expanded,total_waiting_attempts
LNS-SAT,empty-16-16,220,4.93174305909091,37.365758319100316,2.6361696681818185,13.500046538555296,4.172727272727272e-06,1.5428933322529927e-05,1.6088682681818183,17.523193229189154,15247.386363636364,60928.449356682424,424631.85454545455,1815430.2759233704,1084.9834730000002,579.9573270000001,0.0009179999999999999,353.95101900000003,1519.0,1227.0,2946.0
LNS-SAT,empty-32-32,60,0.023669116666666663,0.005966215201984328,3.87e-05,4.982345498524431e-05,5.0000000000000004e-08,2.1794494717703373e-07,0.00011631666666666667,0.00012203421537512427,42.61666666666667,55.78652515517424,99.41666666666667,137.9344399423952,1.4201469999999998,0.002322,3e-06,0.006979,121.0,107.0,209.0
LNS-SAT,room-32-32-4,141,4.619759021276595,21.190651916697828,2.5210171205673757,12.486913514727744,2.1560283687943265e-06,8.705817479422066e-06,1.9324210425531914,8.239768257314951,25178.262411347518,91330.93909456796,1439381.6382978724,5783891.425301669,651.3860219999999,355.463414,0.000304,272.471367,1306.0,761.0,3279.0
LNS-SAT,room-64-64-8,1,0.041222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041222,0.0,0.0,0.0,0.0,0.0,0.0
LNS-SAT,Berlin_1_256,6,1.4081255,0.0731367739734944,8.833333333333334e-06,1.975193380124814e-05,0.0,0.0,1.3e-05,2.906888370749726e-05,5.333333333333333,11.92569587999888,10.0,22.360679774997898,8.448753,5.3e-05,0.0,7.8e-05,2.0,2.0,4.0
LNS-SAT,warehouse-20-40-10-2-2,3,0.919581,0.06222602242363454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.758743,0.0,0.0,0.0,0.0,0.0,0.0
MDD-SAT,empty-16-16,218,7.518169706422018,40.5012936520487,4.538057844036697,12.680048078953527,1.6376146788990826e-06,1.2641339633186514e-06,2.076939105504587,19.10694405923544,18172.142201834864,20847.431891056884,769560.5596330275,1085994.779008932,1638.960996,989.29661,0.000357,452.77272500000004,212.0,211.0,212.0
MDD-SAT,empty-32-32,28,28.377782928571428,36.09784724432144,23.99583532142857,32.12009836436522,2.5e-07,4.330127018922193e-07,3.6553736428571426,3.4520253105064715,38454.17857142857,28665.166840676622,4634481.5,4212520.264248576,794.577922,671.883389,6.999999999999999e-06,102.350462,23.0,23.0,23.0
MDD-SAT,room-32-32-4,46,24.114567260869563,25.153133092441237,17.163662978260867,17.313948743076597,3.0434782608695656e-07,5.05171740809663e-07,5.823302304347827,11.967602611296677,51875.391304347824,23275.42164515875,5113339.108695652,2603361.4763781196,1109.270094,789.5284969999999,1.4000000000000001e-05,267.871906,45.0,44.0,45.0
MDD-SAT,room-64-64-8,1,0.041442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041442,0.0,0.0,0.0,0.0,0.0,0.0
