map_name,num_agents,solver,timestep,cnf_vars,cnf_clauses,cnf_build_time_s,total_solver_time_s,num_collision_iterations,status,seed,params
"mapf-map/empty-16-16.map",3,"probSAT",4,39,171,0.0001434,0.124139,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,66,292,9.54e-05,0.0224641,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,120,649,0.000230301,0.132859,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,174,1105,0.0004712,0.0374761,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",4,39,171,8.28e-05,0.0666494,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,66,292,9.58e-05,0.0210181,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,120,649,0.0002632,0.039688,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,174,1105,0.0004122,0.0426432,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",4,39,171,7.6618e-05,0.0163382,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,66,292,0.000715488,0.253092,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,120,649,0.000255763,0.215709,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,174,1105,0.000446848,0.180189,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",4,39,171,9.6442e-05,0.177794,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,66,292,0.000185094,0.162042,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,120,649,0.000503796,0.306779,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,174,1105,0.000744776,0.0202713,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",4,39,171,0.000104536,0.00237452,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,66,292,0.000111134,0.722769,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,120,649,0.000421929,0.0092166,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,174,1105,0.00117267,0.0201159,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"MiniSAT",4,39,111,7.0755e-05,0.000302402,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"MiniSAT",5,66,237,0.00013545,0.000625877,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"MiniSAT",6,120,598,0.000313357,0.00194504,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"MiniSAT",7,174,1048,0.000521626,0.00665373,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"MiniSAT",8,252,1927,0.000911722,0.608831,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"MiniSAT",9,330,2914,0.00150352,0.334338,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"MiniSAT",10,435,4611,0.00219672,0.718528,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"MiniSAT",11,540,6428,0.00310287,0.632653,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"MiniSAT",12,675,9315,0.00869815,1.51167,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"MiniSAT",13,810,12338,0.0125503,1.99774,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"MiniSAT",14,978,16880,0.00913459,2.31279,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",4,39,171,5.7446e-05,0.239115,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,66,292,7.4398e-05,0.00488235,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,120,649,0.000177418,0.217086,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,174,1105,0.000258151,0.0129807,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"MiniSAT",4,39,111,4.3999e-05,0.000209253,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"MiniSAT",5,66,237,7.8529e-05,0.000372222,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"MiniSAT",6,120,598,0.000171142,0.000875408,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"MiniSAT",7,174,1048,0.000295166,0.00411365,0,"SAT",42,""
