group	source	destination	classification
legacy archive	Analysis/.ipynb_checkpoints/plot_solve_time_cdf-checkpoint.py	archive/analysis/plot_solve_time_cdf_snapshot.py	retained source/reference
legacy archive	Makefile_lns_helpers	archive/Makefile_lns_helpers	retained source/reference
legacy archive	Makefile_test_satsolvermanager	archive/Makefile_test_satsolvermanager	retained source/reference
legacy archive	Makefile_test_satsolvermanager_minisat	archive/Makefile_test_satsolvermanager_minisat	retained source/reference
mechanical relocation	SATSolverManager.cpp	src/SATSolverManager.cpp	retained source/reference
mechanical relocation	SATSolverManager.h	include/lnssat/SATSolverManager.h	retained source/reference
legacy archive	SATSolverManger2.py	archive/SATSolverManger2.py	retained source/reference
legacy archive	SATSolverMangerEdges.py	archive/SATSolverMangerEdges.py	retained source/reference
mechanical relocation	cnf/CNF.cpp	src/cnf/CNF.cpp	retained source/reference
mechanical relocation	cnf/CNF.h	include/lnssat/cnf/CNF.h	retained source/reference
mechanical relocation	cnf/CNFConstructor.cpp	src/cnf/CNFConstructor.cpp	retained source/reference
mechanical relocation	cnf/CNFConstructor.h	include/lnssat/cnf/CNFConstructor.h	retained source/reference
legacy archive	cnf/CNFProbSAT.cpp	archive/cnf/CNFProbSAT.cpp	retained source/reference
legacy archive	cnf/CNFProbSAT.h	archive/cnf/CNFProbSAT.h	retained source/reference
legacy archive	cnf/CNFProbSATConstructor.cpp	archive/cnf/CNFProbSATConstructor.cpp	retained source/reference
legacy archive	cnf/CNFProbSATConstructor.h	archive/cnf/CNFProbSATConstructor.h	retained source/reference
legacy archive	cnf/README.md	archive/cnf/README.md	retained source/reference
legacy archive	cnf/cnf.py	archive/cnf/cnf.py	retained source/reference
legacy archive	lns/LNSCore.h	archive/lns/LNSCore.h	retained source/reference
legacy archive	lns/LNSGeometry.cpp	archive/lns/LNSGeometry.cpp	retained source/reference
legacy archive	lns/LNSGeometry.h	archive/lns/LNSGeometry.h	retained source/reference
legacy archive	lns/LNSHelpers.cpp	archive/lns/LNSHelpers.cpp	retained source/reference
legacy archive	lns/LNSHelpers.h	archive/lns/LNSHelpers.h	retained source/reference
legacy archive	lns/LNSProblemIO.cpp	archive/lns/LNSProblemIO.cpp	retained source/reference
legacy archive	lns/LNSProblemIO.h	archive/lns/LNSProblemIO.h	retained source/reference
legacy archive	lns/LNSSolver.cpp	archive/lns/LNSSolver.cpp	retained source/reference
legacy archive	lns/LNSSolverRefactored.cpp	archive/lns/LNSSolverRefactored.cpp	retained source/reference
legacy archive	lns/LNSSolver_more_helpers.cpp	archive/lns/LNSSolver_more_helpers.cpp	retained source/reference
legacy archive	lns/REFACTORING_GUIDE.md	archive/lns/REFACTORING_GUIDE.md	retained source/reference
legacy archive	lns/REFACTORING_SUMMARY.md	archive/lns/REFACTORING_SUMMARY.md	retained source/reference
legacy archive	lns/example_usage.cpp	archive/lns/example_usage.cpp	retained source/reference
legacy archive	lns/main_crude_lns.cpp	archive/lns/main_crude_lns.cpp	retained source/reference
legacy archive	lns/run_config/default_config.txt	archive/lns/run_config/default_config.txt	retained source/reference
legacy archive	lns/run_config/experiment_100_agents.txt	archive/lns/run_config/experiment_100_agents.txt	retained source/reference
legacy archive	lns/run_config/experiment_200_agents.txt	archive/lns/run_config/experiment_200_agents.txt	retained source/reference
legacy archive	lns/run_config/experiment_probSAT.txt	archive/lns/run_config/experiment_probSAT.txt	retained source/reference
legacy archive	lns/run_config/run_config.sh	archive/lns/run_config/run_config.sh	retained source/reference
mechanical relocation	lns_clean/BUILD.md	docs/BUILD.md	retained source/reference
mechanical relocation	lns_clean/Create_Local_Problem.cpp	src/Create_Local_Problem.cpp	retained source/reference
mechanical relocation	lns_clean/Create_Local_Problem.h	include/lnssat/Create_Local_Problem.h	retained source/reference
mechanical relocation	lns_clean/CurrentSolutionTransaction.h	include/lnssat/CurrentSolutionTransaction.h	retained source/reference
mechanical relocation	lns_clean/Current_Solution.cpp	src/Current_Solution.cpp	retained source/reference
mechanical relocation	lns_clean/Current_Solution.h	include/lnssat/Current_Solution.h	retained source/reference
mechanical relocation	lns_clean/Deadline.h	include/lnssat/Deadline.h	retained source/reference
mechanical relocation	lns_clean/ExperimentLogger.cpp	src/ExperimentLogger.cpp	retained source/reference
mechanical relocation	lns_clean/ExperimentLogger.h	include/lnssat/ExperimentLogger.h	retained source/reference
mechanical relocation	lns_clean/Grid.h	include/lnssat/Grid.h	retained source/reference
mechanical relocation	lns_clean/LNS.cpp	src/LNS.cpp	retained source/reference
mechanical relocation	lns_clean/LNS.h	include/lnssat/LNS.h	retained source/reference
