experiment_id,makespan_attempt,zone_attempt,zone_positions,zone_fraction,conflicts,agents,start_t,end_t,waiting_attempts,total_lazy_iterations,total_cnf_clauses,total_cnf_variables,total_mdd_build_ms,total_cnf_build_ms,total_lazy_wall_ms,total_lazy_solver_wall_ms,total_lazy_solver_reported_ms,solved
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents100-idx0-seed42-1761083881424,0,0,8,0.011730,2,4,0,2,2,4,70,30,0.000000,0.053000,0.201000,0.155000,0.021044,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents100-idx0-seed42-1761083881424,0,0,71,0.104106,68,36,0,17,3,5,38392,4907,0.015000,27.106000,40.750000,39.812000,0.509089,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents100-idx0-seed42-1761083881424,0,1,323,0.473607,234,86,0,19,2,3,142574,12589,0.014000,189.377000,163.629000,160.458000,1.212242,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents100-idx0-seed42-1761083881424,0,2,419,0.614370,253,92,0,20,2,3,316457,21236,0.016000,519.500000,421.636000,415.122000,2.478173,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents100-idx0-seed42-1761083881424,0,3,592,0.868035,297,97,0,21,4,8,2166316,110732,0.057000,11298.403000,5372.273000,5297.777000,65.595741,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents100-idx0-seed42-1761083881424,0,4,631,0.925220,297,98,0,22,3,6,1488214,77063,0.065000,5341.137000,4080.631000,4035.142000,46.504932,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents100-idx0-seed42-1761083881424,0,5,682,1.000000,631,100,0,55,1,2828,64391110,589600,0.017000,4164190.292000,2741536.406000,1523640.141000,1457039.928620,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-2_scen-agents100-idx0-seed42-1761090821646,0,0,7,0.010264,1,3,0,1,3,5,69,32,0.000000,0.026000,0.128000,0.100000,0.012566,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-2_scen-agents100-idx0-seed42-1761090821646,0,0,29,0.042522,19,10,0,13,2,3,1611,375,0.000000,0.476000,0.953000,0.909000,0.013208,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-2_scen-agents100-idx0-seed42-1761090821646,0,1,64,0.093842,28,14,0,15,2,3,5542,869,0.002000,1.615000,2.972000,2.874000,0.030934,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-2_scen-agents100-idx0-seed42-1761090821646,0,2,80,0.117302,28,23,0,16,2,3,8955,1117,0.002000,2.862000,4.674000,4.532000,0.044281,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-2_scen-agents100-idx0-seed42-1761090821646,0,3,561,0.822581,214,98,0,17,3,6,421317,34181,0.024000,501.722000,458.093000,450.026000,12.225731,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-2_scen-agents100-idx0-seed42-1761090821646,0,4,625,0.916422,223,99,0,18,3,6,642934,44911,0.014000,926.394000,769.683000,758.034000,17.727225,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-64-64-8_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-64-64-8-even-1_scen-agents100-idx0-seed42-1761091080717,0,0,13,0.004022,5,2,0,6,2,3,86,39,0.000000,0.046000,0.124000,0.101000,0.012102,1
