experiment_id,makespan_attempt,zone_attempt,waiting_attempt,waiting_budget,zone_positions,segment_count,agent_count,start_t,end_t,cnf_clauses,cnf_variables,mdd_build_ms,cnf_build_ms,attempt_wall_ms,lazy_iterations,lazy_total_wall_ms,lazy_solver_wall_ms,lazy_solver_reported_ms,applied_waiting,extended_window,solved
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents100-idx0-seed42-1761083881424,0,0,0,0,8,4,4,0,2,21,11,0.000000,0.015000,0.744000,3,0.126000,0.093000,0.013535,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents100-idx0-seed42-1761083881424,0,0,1,1,8,4,4,0,3,49,19,0.000000,0.038000,0.625000,1,0.075000,0.062000,0.007509,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents100-idx0-seed42-1761083881424,0,0,0,0,71,38,36,0,17,8158,1094,0.009000,5.051000,27.423000,2,11.169000,10.575000,0.171146,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents100-idx0-seed42-1761083881424,0,0,1,1,71,38,36,0,18,10872,1405,0.003000,6.844000,36.237000,2,15.219000,14.879000,0.337943,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents100-idx0-seed42-1761083881424,0,0,2,2,71,40,38,0,20,19362,2408,0.003000,15.211000,30.425000,1,14.362000,14.358000,0.000000,0,0,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents100-idx0-seed42-1761083881424,0,1,0,0,323,99,86,0,19,63006,5605,0.007000,77.411000,221.430000,2,99.519000,96.355000,1.212242,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents100-idx0-seed42-1761083881424,0,1,1,1,323,101,88,0,20,79568,6984,0.007000,111.966000,178.449000,1,64.110000,64.103000,0.000000,0,0,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents100-idx0-seed42-1761083881424,0,2,0,0,419,98,92,0,20,137958,9456,0.005000,206.891000,523.219000,2,251.473000,244.969000,2.478173,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents100-idx0-seed42-1761083881424,0,2,1,1,419,99,93,0,21,178499,11780,0.011000,312.609000,488.629000,1,170.163000,170.153000,0.000000,0,0,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents100-idx0-seed42-1761083881424,0,3,0,0,592,103,97,0,21,239252,15220,0.005000,486.255000,1044.374000,2,462.970000,454.320000,4.571205,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents100-idx0-seed42-1761083881424,0,3,1,1,592,104,97,0,22,309789,18762,0.019000,709.302000,1456.104000,2,634.216000,625.447000,24.438147,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents100-idx0-seed42-1761083881424,0,3,2,2,592,104,97,0,24,521395,28312,0.008000,1948.062000,3310.439000,2,1200.865000,1186.410000,11.646372,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents100-idx0-seed42-1761083881424,0,3,3,3,592,104,97,0,27,1095880,48438,0.025000,8154.784000,11323.757000,2,3074.222000,3031.600000,24.940017,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents100-idx0-seed42-1761083881424,0,4,0,0,631,99,98,0,22,332258,18943,0.005000,781.226000,1623.615000,2,709.749000,698.039000,5.974478,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents100-idx0-seed42-1761083881424,0,4,1,1,631,99,98,0,23,433124,23231,0.019000,1376.859000,2795.706000,2,1283.950000,1272.161000,20.744218,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents100-idx0-seed42-1761083881424,0,4,2,2,631,99,98,0,25,722832,34889,0.041000,3183.052000,5444.027000,2,2086.932000,2064.942000,19.786236,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents100-idx0-seed42-1761083881424,0,5,0,0,682,100,100,0,55,64391110,589600,0.017000,4164190.292000,6907404.824000,2828,2741536.406000,1523640.141000,1457039.928620,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-2_scen-agents100-idx0-seed42-1761090821646,0,0,0,0,7,3,3,0,1,8,5,0.000000,0.005000,0.401000,2,0.053000,0.042000,0.006106,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-2_scen-agents100-idx0-seed42-1761090821646,0,0,1,1,7,3,3,0,2,15,8,0.000000,0.005000,0.344000,2,0.033000,0.024000,0.001679,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-2_scen-agents100-idx0-seed42-1761090821646,0,0,2,2,7,4,4,0,4,46,19,0.000000,0.016000,0.350000,1,0.042000,0.034000,0.004781,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-2_scen-agents100-idx0-seed42-1761090821646,0,0,0,0,29,10,10,0,13,674,163,0.000000,0.188000,2.033000,2,0.589000,0.546000,0.013208,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-2_scen-agents100-idx0-seed42-1761090821646,0,0,1,1,29,10,10,0,14,937,212,0.000000,0.288000,0.696000,1,0.364000,0.363000,0.000000,0,0,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-2_scen-agents100-idx0-seed42-1761090821646,0,1,0,0,64,15,14,0,15,2320,369,0.001000,0.661000,5.161000,2,1.798000,1.702000,0.030934,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-2_scen-agents100-idx0-seed42-1761090821646,0,1,1,1,64,17,16,0,16,3222,500,0.001000,0.954000,2.235000,1,1.174000,1.172000,0.000000,0,0,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-2_scen-agents100-idx0-seed42-1761090821646,0,2,0,0,80,23,23,0,16,3728,481,0.001000,1.132000,7.105000,2,2.762000,2.623000,0.044281,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-2_scen-agents100-idx0-seed42-1761090821646,0,2,1,1,80,23,23,0,17,5227,636,0.001000,1.730000,3.758000,1,1.912000,1.909000,0.000000,0,0,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-2_scen-agents100-idx0-seed42-1761090821646,0,3,0,0,561,108,98,0,17,85890,7815,0.003000,73.563000,207.488000,2,85.235000,83.393000,0.926835,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-2_scen-agents100-idx0-seed42-1761090821646,0,3,1,1,561,108,98,0,18,118018,10086,0.012000,126.015000,291.125000,2,116.929000,114.933000,5.657981,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-2_scen-agents100-idx0-seed42-1761090821646,0,3,2,2,561,109,98,0,20,217409,16280,0.009000,302.144000,594.462000,2,255.929000,251.700000,5.640915,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-2_scen-agents100-idx0-seed42-1761090821646,0,4,0,0,625,106,99,0,18,134848,10531,0.003000,135.696000,313.804000,2,129.389000,126.214000,1.507479,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-2_scen-agents100-idx0-seed42-1761090821646,0,4,1,1,625,106,99,0,19,182054,13317,0.005000,209.490000,473.524000,2,206.313000,203.583000,7.737310,1,1,0
