experiment_id,map_path,scenario_path,num_agents,scenario_index,seed,solved,makespan_success,total_runtime_ms,total_cnf_clauses,total_cnf_variables,total_mdd_build_ms,total_cnf_build_ms,total_lazy_wall_ms,total_lazy_solver_wall_ms,total_lazy_solver_reported_ms
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_Berlin_1_256_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_Berlin_1_256-even-1_scen-agents10-idx0-seed42-1783530820198,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-map/Berlin_1_256.map,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-scen-even/scen-even/Berlin_1_256-even-1.scen,10,0,42,1,313,1334.351000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_Berlin_1_256_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_Berlin_1_256-even-1_scen-agents10-idx1-seed42-1783530821600,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-map/Berlin_1_256.map,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-scen-even/scen-even/Berlin_1_256-even-1.scen,10,1,42,1,287,1388.640000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_Berlin_1_256_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_Berlin_1_256-even-1_scen-agents10-idx2-seed42-1783530823051,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-map/Berlin_1_256.map,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-scen-even/scen-even/Berlin_1_256-even-1.scen,10,2,42,1,444,1421.952000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_Berlin_1_256_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_Berlin_1_256-even-1_scen-agents10-idx3-seed42-1783530824504,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-map/Berlin_1_256.map,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-scen-even/scen-even/Berlin_1_256-even-1.scen,10,3,42,1,424,1609.011000,357,130,0.000000,0.226000,0.363000,0.294000,0.033212
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_Berlin_1_256_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_Berlin_1_256-even-1_scen-agents10-idx4-seed42-1783530826161,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-map/Berlin_1_256.map,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-scen-even/scen-even/Berlin_1_256-even-1.scen,10,4,42,1,427,1757.973000,24,10,0.000000,0.026000,0.061000,0.048000,0.011755
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_Berlin_1_256_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_Berlin_1_256-even-1_scen-agents10-idx5-seed42-1783530827965,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-map/Berlin_1_256.map,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-scen-even/scen-even/Berlin_1_256-even-1.scen,10,5,42,1,391,1586.890000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_Berlin_1_256_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_Berlin_1_256-even-1_scen-agents10-idx6-seed42-1783530829617,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-map/Berlin_1_256.map,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-scen-even/scen-even/Berlin_1_256-even-1.scen,10,6,42,1,385,1467.795000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_Berlin_1_256_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_Berlin_1_256-even-1_scen-agents10-idx7-seed42-1783530831123,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-map/Berlin_1_256.map,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-scen-even/scen-even/Berlin_1_256-even-1.scen,10,7,42,1,419,1520.774000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_Berlin_1_256_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_Berlin_1_256-even-1_scen-agents10-idx8-seed42-1783530832726,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-map/Berlin_1_256.map,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-scen-even/scen-even/Berlin_1_256-even-1.scen,10,8,42,1,375,1603.996000,69,32,0.000000,0.048000,0.098000,0.072000,0.012916
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_Berlin_1_256_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_Berlin_1_256-even-1_scen-agents10-idx9-seed42-1783530834381,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-map/Berlin_1_256.map,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-scen-even/scen-even/Berlin_1_256-even-1.scen,10,9,42,1,421,1479.373000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
