experiment_id,makespan_attempt,zone_attempt,waiting_attempt,waiting_budget,zone_positions,segment_count,agent_count,start_t,end_t,cnf_clauses,cnf_variables,mdd_build_ms,cnf_build_ms,attempt_wall_ms,lazy_iterations,lazy_total_wall_ms,lazy_solver_wall_ms,lazy_solver_reported_ms,applied_waiting,extended_window,solved
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_warehouse-20-40-10-2-2_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_warehouse-20-40-10-2-2-even-1_scen-agents10-idx3-seed42-1783534009040,0,0,0,0,4,2,2,183,185,22,9,0.000000,0.016000,0.533000,4,0.078000,0.046000,0.010457,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_warehouse-20-40-10-2-2_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_warehouse-20-40-10-2-2-even-1_scen-agents10-idx9-seed42-1783534014609,0,0,0,0,7,2,2,117,119,11,6,0.000000,0.011000,0.641000,2,0.038000,0.026000,0.008018,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_warehouse-20-40-10-2-2_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_warehouse-20-40-10-2-2-even-1_scen-agents10-idx9-seed42-1783534014609,0,0,1,1,7,2,2,117,120,20,10,0.000000,0.013000,0.391000,2,0.030000,0.021000,0.001975,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_warehouse-20-40-10-2-2_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_warehouse-20-40-10-2-2-even-1_scen-agents10-idx9-seed42-1783534014609,0,0,2,2,7,2,2,117,122,72,24,0.000000,0.033000,0.403000,1,0.058000,0.051000,0.003999,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_warehouse-20-40-10-2-2_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_warehouse-20-40-10-2-2-even-1_scen-agents10-idx9-seed42-1783534014609,0,0,0,0,4,2,2,241,243,20,9,0.000000,0.017000,0.440000,2,0.040000,0.027000,0.002995,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_warehouse-20-40-10-2-2_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_warehouse-20-40-10-2-2-even-1_scen-agents10-idx11-seed42-1783534016619,0,0,0,0,4,2,2,305,307,22,9,0.000000,0.022000,0.549000,4,0.077000,0.051000,0.010195,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_warehouse-20-40-10-2-2_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_warehouse-20-40-10-2-2-even-1_scen-agents10-idx15-seed42-1783534020380,0,0,0,0,13,2,2,15,21,36,18,0.000000,0.017000,0.523000,2,0.064000,0.046000,0.008772,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_warehouse-20-40-10-2-2_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_warehouse-20-40-10-2-2-even-1_scen-agents10-idx15-seed42-1783534020380,0,0,1,1,13,2,2,15,22,50,25,0.000000,0.170000,0.529000,1,0.046000,0.038000,0.004872,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_warehouse-20-40-10-2-2_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_warehouse-20-40-10-2-2-even-1_scen-agents10-idx24-seed42-1783534029054,0,0,0,0,6,2,2,173,175,11,6,0.000000,0.015000,0.794000,2,0.044000,0.032000,0.008318,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_warehouse-20-40-10-2-2_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_warehouse-20-40-10-2-2-even-1_scen-agents10-idx24-seed42-1783534029054,0,0,1,1,6,2,2,173,176,20,10,0.000000,0.017000,0.442000,2,0.031000,0.022000,0.001977,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_warehouse-20-40-10-2-2_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_warehouse-20-40-10-2-2-even-1_scen-agents10-idx24-seed42-1783534029054,0,0,2,2,6,2,2,173,178,62,22,0.000000,0.036000,0.432000,3,0.076000,0.057000,0.008406,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_warehouse-20-40-10-2-2_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_warehouse-20-40-10-2-2-even-1_scen-agents10-idx24-seed42-1783534029054,0,0,0,0,5,2,2,366,368,25,10,0.000000,0.023000,0.517000,2,0.049000,0.034000,0.003232,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_warehouse-20-40-10-2-2_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_warehouse-20-40-10-2-2-even-1_scen-agents10-idx27-seed42-1783534031864,0,0,0,0,4,2,2,360,362,22,9,0.000000,0.026000,0.522000,4,0.067000,0.043000,0.009702,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_warehouse-20-40-10-2-2_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_warehouse-20-40-10-2-2-even-1_scen-agents10-idx33-seed42-1783534037680,0,0,0,0,5,2,2,16,18,11,6,0.000000,0.007000,0.384000,2,0.037000,0.025000,0.007753,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_warehouse-20-40-10-2-2_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_warehouse-20-40-10-2-2-even-1_scen-agents10-idx33-seed42-1783534037680,0,0,1,1,5,2,2,16,19,17,9,0.000000,0.008000,0.402000,1,0.027000,0.020000,0.002501,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_warehouse-20-40-10-2-2_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_warehouse-20-40-10-2-2-even-1_scen-agents10-idx33-seed42-1783534037680,0,0,0,0,5,2,2,169,171,11,6,0.000000,0.011000,0.307000,2,0.023000,0.014000,0.000903,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_warehouse-20-40-10-2-2_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_warehouse-20-40-10-2-2-even-1_scen-agents10-idx33-seed42-1783534037680,0,0,1,1,5,2,2,169,172,18,9,0.000000,0.013000,0.300000,2,0.027000,0.018000,0.001617,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_warehouse-20-40-10-2-2_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_warehouse-20-40-10-2-2-even-1_scen-agents10-idx33-seed42-1783534037680,0,0,2,2,5,2,2,169,174,51,19,0.000000,0.025000,0.310000,2,0.048000,0.040000,0.004750,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_warehouse-20-40-10-2-2_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_warehouse-20-40-10-2-2-even-1_scen-agents10-idx33-seed42-1783534037680,0,0,3,3,5,2,2,169,177,99,34,0.000000,0.046000,0.109000,1,0.051000,0.050000,0.000000,0,0,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_warehouse-20-40-10-2-2_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_warehouse-20-40-10-2-2-even-1_scen-agents10-idx33-seed42-1783534037680,0,1,0,0,12,2,2,168,172,19,10,0.000000,0.016000,0.286000,2,0.026000,0.015000,0.000677,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_warehouse-20-40-10-2-2_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_warehouse-20-40-10-2-2-even-1_scen-agents10-idx33-seed42-1783534037680,0,1,1,1,12,2,2,168,173,30,15,0.000000,0.021000,0.305000,2,0.033000,0.024000,0.002965,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_warehouse-20-40-10-2-2_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_warehouse-20-40-10-2-2-even-1_scen-agents10-idx33-seed42-1783534037680,0,1,2,2,12,2,2,168,175,116,35,0.000000,0.047000,0.349000,2,0.089000,0.075000,0.010914,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_warehouse-20-40-10-2-2_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_warehouse-20-40-10-2-2-even-1_scen-agents10-idx34-seed42-1783534038527,0,0,0,0,4,2,2,140,142,22,9,0.000000,0.015000,0.554000,4,0.067000,0.043000,0.009574,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_warehouse-20-40-10-2-2_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_warehouse-20-40-10-2-2-even-1_scen-agents10-idx39-seed42-1783534043194,0,0,0,0,5,2,2,141,143,25,10,0.000000,0.016000,0.562000,2,0.065000,0.048000,0.009386,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_warehouse-20-40-10-2-2_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_warehouse-20-40-10-2-2-even-1_scen-agents10-idx44-seed42-1783534047806,0,0,0,0,7,2,2,198,200,11,6,0.000000,0.015000,0.830000,2,0.042000,0.029000,0.007900,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_warehouse-20-40-10-2-2_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_warehouse-20-40-10-2-2-even-1_scen-agents10-idx44-seed42-1783534047806,0,0,1,1,7,2,2,198,201,22,11,0.000000,0.019000,0.429000,2,0.046000,0.030000,0.004389,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_warehouse-20-40-10-2-2_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_warehouse-20-40-10-2-2-even-1_scen-agents10-idx47-seed42-1783534050669,0,0,0,0,4,2,2,173,175,22,9,0.000000,0.016000,0.431000,4,0.071000,0.048000,0.009653,0,0,1
