experiment_id,makespan_attempt,makespan,zones_attempted,zones_solved,total_waiting_attempts,total_lazy_iterations,total_cnf_clauses,total_cnf_variables,total_mdd_build_ms,total_cnf_build_ms,total_lazy_wall_ms,total_lazy_solver_wall_ms,total_lazy_solver_reported_ms,attempt_wall_ms,solved
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx0-seed42-1783510281438,0,46,4,4,9,17,259,106,0.000000,0.183000,0.770000,0.572000,0.059801,9.168000,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx1-seed42-1783510281489,0,50,4,4,13,30,1554,437,0.000000,0.452000,1.134000,0.932000,0.103085,6.481000,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx2-seed42-1783510281543,0,51,2,2,5,10,148,59,0.000000,0.120000,0.478000,0.350000,0.040967,9.472000,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx3-seed42-1783510281594,0,47,2,2,4,9,108,46,0.000000,0.060000,0.268000,0.195000,0.025592,7.560000,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx4-seed42-1783510281645,0,54,6,6,15,30,1235,395,0.000000,0.479000,1.133000,0.922000,0.087904,10.430000,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx5-seed42-1783510281695,0,53,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,6.499000,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx6-seed42-1783510281746,0,54,3,2,6,14,631,177,0.000000,0.273000,0.616000,0.497000,0.034488,7.999000,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx7-seed42-1783510281798,0,52,6,2,17,37,43868,4568,0.000000,11.707000,29.062000,28.191000,0.782403,57.126000,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx8-seed42-1783510281897,0,54,3,3,7,19,311,107,0.000000,0.103000,0.369000,0.270000,0.033573,4.507000,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx9-seed42-1783510281948,0,55,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,5.179000,1
