experiment_id,makespan_attempt,zone_attempt,waiting_attempt,waiting_budget,zone_positions,segment_count,agent_count,start_t,end_t,cnf_clauses,cnf_variables,mdd_build_ms,cnf_build_ms,attempt_wall_ms,lazy_iterations,lazy_total_wall_ms,lazy_solver_wall_ms,lazy_solver_reported_ms,applied_waiting,extended_window,solved
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx0-seed42-1783510281438,0,0,0,0,7,2,2,1,3,11,6,0.000000,0.013000,0.276000,2,0.107000,0.081000,0.012430,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx0-seed42-1783510281438,0,0,1,1,7,2,2,1,4,20,10,0.000000,0.015000,0.259000,2,0.114000,0.088000,0.004222,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx0-seed42-1783510281438,0,0,2,2,7,2,2,1,6,68,24,0.000000,0.046000,0.342000,3,0.190000,0.136000,0.017215,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx0-seed42-1783510281438,0,0,0,0,9,2,2,7,9,11,6,0.000000,0.009000,0.149000,2,0.040000,0.024000,0.001312,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx0-seed42-1783510281438,0,0,1,1,9,2,2,7,10,20,10,0.000000,0.011000,0.175000,2,0.049000,0.034000,0.002573,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx0-seed42-1783510281438,0,0,2,2,9,2,2,7,12,89,28,0.000000,0.057000,0.282000,2,0.146000,0.122000,0.016697,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx0-seed42-1783510281438,0,0,0,0,8,2,2,11,13,12,7,0.000000,0.012000,0.126000,1,0.041000,0.030000,0.002012,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx0-seed42-1783510281438,0,0,0,0,5,2,2,12,14,11,6,0.000000,0.008000,0.140000,2,0.038000,0.023000,0.000774,1,1,0
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx0-seed42-1783510281438,0,0,1,1,5,2,2,12,15,17,9,0.000000,0.012000,0.127000,1,0.045000,0.034000,0.002566,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx1-seed42-1783510281489,0,0,0,0,9,3,3,8,11,21,11,0.000000,0.009000,0.178000,2,0.060000,0.040000,0.006082,1,1,0
