experiment_id,makespan_attempt,makespan,zones_attempted,zones_solved,total_waiting_attempts,total_lazy_iterations,total_cnf_clauses,total_cnf_variables,total_mdd_build_ms,total_cnf_build_ms,total_lazy_wall_ms,total_lazy_solver_wall_ms,total_lazy_solver_reported_ms,attempt_wall_ms,solved
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_Paris_1_256_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_Paris_1_256-even-1_scen-agents10-idx0-seed42-1760984718345,0,501,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,828.940000,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_Paris_1_256_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_Paris_1_256-even-1_scen-agents10-idx1-seed42-1760984719903,0,521,1,1,1,2,25,10,0.000000,0.027000,0.053000,0.038000,0.009664,848.129000,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_Paris_1_256_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_Paris_1_256-even-1_scen-agents10-idx2-seed42-1760984721507,0,497,1,1,3,7,118,42,0.000000,0.093000,0.145000,0.108000,0.016245,877.824000,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_Paris_1_256_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_Paris_1_256-even-1_scen-agents10-idx3-seed42-1760984723116,0,399,2,1,5,9,167,73,0.000000,0.144000,0.190000,0.144000,0.014638,757.217000,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_Paris_1_256_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_Paris_1_256-even-1_scen-agents10-idx4-seed42-1760984724621,0,374,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,726.954000,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_Paris_1_256_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_Paris_1_256-even-1_scen-agents10-idx5-seed42-1760984726075,0,475,2,1,7,13,282,117,0.000000,0.190000,0.283000,0.219000,0.030578,797.673000,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_Paris_1_256_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_Paris_1_256-even-1_scen-agents10-idx6-seed42-1760984727578,0,496,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,738.748000,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_Paris_1_256_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_Paris_1_256-even-1_scen-agents10-idx7-seed42-1760984729036,0,425,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,794.953000,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_Paris_1_256_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_Paris_1_256-even-1_scen-agents10-idx8-seed42-1760984730538,0,462,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,833.564000,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_Paris_1_256_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_Paris_1_256-even-1_scen-agents10-idx9-seed42-1760984732097,0,432,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,695.786000,1
