experiment_id,map_path,scenario_path,num_agents,scenario_index,seed,solved,makespan_success,total_runtime_ms,total_cnf_clauses,total_cnf_variables,total_mdd_build_ms,total_cnf_build_ms,total_lazy_wall_ms,total_lazy_solver_wall_ms,total_lazy_solver_reported_ms
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx0-seed42-1760991853962,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-map/room-32-32-4.map,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-scen-even/scen-even/room-32-32-4-even-1.scen,10,0,42,1,46,14.607000,259,106,0.000000,0.087000,0.382000,0.288000,0.033360
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx1-seed42-1760991854018,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-map/room-32-32-4.map,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-scen-even/scen-even/room-32-32-4-even-1.scen,10,1,42,1,50,20.501000,1554,437,0.000000,0.711000,1.676000,1.406000,0.144974
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx2-seed42-1760991854068,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-map/room-32-32-4.map,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-scen-even/scen-even/room-32-32-4-even-1.scen,10,2,42,1,51,17.232000,148,59,0.000000,0.061000,0.255000,0.188000,0.028089
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx3-seed42-1760991854118,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-map/room-32-32-4.map,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-scen-even/scen-even/room-32-32-4-even-1.scen,10,3,42,1,47,16.179000,108,46,0.000000,0.055000,0.253000,0.183000,0.021265
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx4-seed42-1760991854170,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-map/room-32-32-4.map,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-scen-even/scen-even/room-32-32-4-even-1.scen,10,4,42,1,54,20.079000,1235,395,0.000000,0.448000,1.209000,0.961000,0.104074
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx5-seed42-1760991854221,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-map/room-32-32-4.map,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-scen-even/scen-even/room-32-32-4-even-1.scen,10,5,42,1,53,16.213000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx6-seed42-1760991854272,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-map/room-32-32-4.map,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-scen-even/scen-even/room-32-32-4-even-1.scen,10,6,42,1,54,20.063000,439,147,0.000000,0.407000,1.356000,1.156000,0.061096
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx7-seed42-1760991854322,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-map/room-32-32-4.map,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-scen-even/scen-even/room-32-32-4-even-1.scen,10,7,42,1,52,97.354000,72505,7954,0.000000,18.736000,49.535000,48.257000,1.233442
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx8-seed42-1760991854473,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-map/room-32-32-4.map,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-scen-even/scen-even/room-32-32-4-even-1.scen,10,8,42,1,54,21.665000,311,107,0.001000,0.257000,0.791000,0.586000,0.068921
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx9-seed42-1760991854525,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-map/room-32-32-4.map,/home/max/Documents/PhD/MAPF/LNS/MAPF_LNS_SAT/mapf-scen-even/scen-even/room-32-32-4-even-1.scen,10,9,42,1,55,14.487000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
