experiment_id,makespan_attempt,zone_attempt,waiting_attempt,waiting_budget,zone_positions,segment_count,agent_count,start_t,end_t,cnf_clauses,cnf_variables,mdd_build_ms,cnf_build_ms,attempt_wall_ms,lazy_iterations,lazy_total_wall_ms,lazy_solver_wall_ms,lazy_solver_reported_ms,applied_waiting,extended_window,solved
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx0-seed42-1761027369448,0,0,0,0,682,10,10,0,46,2653501,32505,0.000000,6087.253000,8378.222000,21,2285.530000,2240.973000,55.704040,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx1-seed42-1761027377980,0,0,0,0,682,10,10,0,50,5119599,48048,0.000000,14712.860000,19639.236000,15,4916.542000,4237.207000,105.307567,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx2-seed42-1761027397891,0,0,0,0,682,10,10,0,51,4335945,45305,0.000000,10029.040000,14393.984000,15,4356.246000,3797.951000,77.033207,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx3-seed42-1761027412533,0,0,0,0,682,10,10,0,47,2378265,27431,0.001000,4194.558000,6398.600000,7,2199.759000,2170.515000,29.203927,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx4-seed42-1761027419100,0,0,0,0,682,10,10,0,54,6829598,58283,0.001000,21741.196000,28520.747000,2,6765.658000,5849.675000,64.800697,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx6-seed42-1761027448008,0,0,0,0,682,10,10,0,54,4393653,46808,0.000000,8976.066000,12936.179000,4,3951.211000,3402.446000,47.935304,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx7-seed42-1761027461204,0,0,0,0,682,10,10,0,52,4952480,45945,0.000000,12746.221000,17185.216000,10,4429.415000,3807.278000,70.405655,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx8-seed42-1761027478662,0,0,0,0,682,10,10,0,54,4345184,47491,0.000000,8678.746000,12586.198000,2,3898.540000,3358.446000,42.413186,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx10-seed42-1761027491558,0,0,0,0,682,10,10,0,53,4183735,45879,0.000000,10323.489000,14151.971000,8,3820.409000,3289.662000,59.677333,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_room-32-32-4_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_room-32-32-4-even-1_scen-agents10-idx11-seed42-1761027505947,0,0,0,0,682,10,10,0,53,3082498,36652,0.000000,5078.776000,8056.387000,9,2971.267000,2555.873000,40.566804,0,0,1
