experiment_id,makespan_attempt,zone_attempt,waiting_attempt,waiting_budget,zone_positions,segment_count,agent_count,start_t,end_t,cnf_clauses,cnf_variables,mdd_build_ms,cnf_build_ms,attempt_wall_ms,lazy_iterations,lazy_total_wall_ms,lazy_solver_wall_ms,lazy_solver_reported_ms,applied_waiting,extended_window,solved
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-1_scen-agents10-idx0-seed42-1760967826466,0,0,0,0,256,10,10,0,22,431220,10059,0.001000,809.357000,1407.636000,5,596.126000,585.243000,11.051727,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-1_scen-agents10-idx1-seed42-1760967827975,0,0,0,0,256,10,10,0,20,267891,7315,0.001000,419.021000,803.310000,1,383.253000,382.520000,7.500000,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-1_scen-agents10-idx3-seed42-1760967828930,0,0,0,0,256,10,10,0,15,39616,2425,0.001000,52.164000,83.873000,5,31.346000,29.967000,1.485630,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-1_scen-agents10-idx4-seed42-1760967829079,0,0,0,0,256,10,10,0,17,109928,4701,0.001000,153.540000,245.101000,5,90.937000,87.856000,3.509641,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-1_scen-agents10-idx5-seed42-1760967829380,0,0,0,0,256,10,10,0,20,175410,6338,0.002000,260.147000,427.375000,7,166.349000,161.350000,7.047407,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-1_scen-agents10-idx6-seed42-1760967829882,0,0,0,0,256,10,10,0,13,47055,2516,0.002000,67.411000,106.219000,2,38.245000,37.177000,1.007075,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-1_scen-agents10-idx7-seed42-1760967830031,0,0,0,0,256,10,10,0,20,267347,7876,0.001000,443.313000,702.281000,6,257.937000,251.453000,7.024989,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-1_scen-agents10-idx8-seed42-1760967830836,0,0,0,0,256,10,10,0,24,492721,11914,0.001000,898.028000,1395.549000,8,495.894000,485.244000,12.606671,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-1_scen-agents10-idx9-seed42-1760967832343,0,0,0,0,256,10,10,0,17,48245,3222,0.002000,70.231000,112.035000,4,41.423000,40.095000,1.541834,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-1_scen-agents10-idx10-seed42-1760967832492,0,0,0,0,256,10,10,0,17,90410,3910,0.002000,118.764000,186.112000,2,66.824000,65.248000,1.895106,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-2_scen-agents10-idx0-seed42-1760967832797,0,0,0,0,256,10,10,0,21,300344,8472,0.001000,474.564000,746.514000,5,270.542000,263.006000,7.964692,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-2_scen-agents10-idx1-seed42-1760967833648,0,0,0,0,256,10,10,0,26,954490,16783,0.001000,1841.473000,2886.410000,4,1042.524000,1025.077000,17.165942,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-2_scen-agents10-idx2-seed42-1760967836657,0,0,0,0,256,10,10,0,14,32759,2428,0.001000,47.455000,84.273000,2,36.324000,34.958000,0.992963,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-2_scen-agents10-idx3-seed42-1760967836812,0,0,0,0,256,10,10,0,23,456999,11042,0.001000,907.822000,1354.680000,4,445.088000,435.812000,10.185836,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-2_scen-agents10-idx4-seed42-1760967838267,0,0,0,0,256,10,10,0,20,147208,5723,0.002000,215.422000,327.598000,8,111.402000,107.219000,5.278907,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-2_scen-agents10-idx5-seed42-1760967838668,0,0,0,0,256,10,10,0,16,65468,3219,0.001000,65.608000,111.756000,2,45.802000,44.442000,1.246114,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-2_scen-agents10-idx6-seed42-1760967838817,0,0,0,0,256,10,10,0,17,98479,4181,0.002000,106.608000,182.434000,5,75.213000,72.433000,2.906530,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-2_scen-agents10-idx7-seed42-1760967839071,0,0,0,0,256,10,10,0,18,115746,4743,0.001000,128.119000,221.755000,5,93.093000,90.178000,3.485527,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-2_scen-agents10-idx8-seed42-1760967839371,0,0,0,0,256,10,10,0,20,259677,7612,0.001000,430.640000,660.245000,5,228.605000,222.466000,6.657991,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-2_scen-agents10-idx9-seed42-1760967840126,0,0,0,0,256,10,10,0,22,410860,10643,0.002000,771.095000,1178.209000,2,405.428000,397.620000,6.968018,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-2_scen-agents10-idx11-seed42-1760967841431,0,0,0,0,256,10,10,0,21,309090,8668,0.002000,514.875000,788.072000,5,272.137000,265.538000,7.454912,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-3_scen-agents10-idx0-seed42-1760967842280,0,0,0,0,256,10,10,0,18,108652,4308,0.001000,139.963000,229.195000,6,88.695000,85.655000,3.165765,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-3_scen-agents10-idx1-seed42-1760967842583,0,0,0,0,256,10,10,0,22,376886,9824,0.001000,646.832000,1058.311000,6,409.606000,401.083000,9.956893,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-3_scen-agents10-idx2-seed42-1760967843737,0,0,0,0,256,10,10,0,24,617209,13426,0.001000,1243.234000,1886.957000,4,641.911000,629.771000,12.054859,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-3_scen-agents10-idx3-seed42-1760967845745,0,0,0,0,256,10,10,0,18,118069,5033,0.002000,172.019000,267.770000,3,95.070000,92.127000,2.776554,0,0,1
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-3_scen-agents10-idx4-seed42-1760967846096,0,0,0,0,256,10,10,0,24,631221,13261,0.001000,1333.337000,1975.011000,6,639.710000,626.175000,14.326554,0,0,1
