[LNS] Loaded map 64x64, agents: 100
[LNS] Map:
.@...@.@........................@...@.....@...@.................
.......@.............@...@.........@.........@....@.............
......................@.........@.....................@....@....
..@.@..@...........................@@.............@.@.....@....@
......@..@.........@........@...................................
.....@.@........@@............@...@..@......@.........@.....@...
............@........@.....@..................@...@...@@......@.
..@..........................@..........@........@..............
......@.@..............@...........@....................@...@...
@@................@....@..........................@....@.......@
.....@.................@....................@....@.......@@.....
.@...........................@.............@..............@.....
.@..@.....@.................@.....@@..........................@.
.........@@......@.@.............@..........@................@..
....@....@..............@..@............@..@...@..........@.....
....@............@...........@.@...@........@.....@.............
..............................................@..@..............
..@.......@...@...............................@..........@......
......................@.@......@.....@@.......@...@.@...........
@......@..........@....@..............................@....@....
@.@..........@......@..@............@..@.......@.....@........@.
....@.....@...@..@...........@.@@@..........@@..@........@......
...............@.....@@....................@...............@....
..@.@..@@@.@.....@..............@...@.........@.................
..........@......@..............@........@.......@...@..........
..................@..................................@.@.....@..
@....@...@@...@..........@....................@.................
........@.......@.@....................................@...@.@.@
@................@.........@......@..@..............@...........
....@..@..@@............@........................@..............
..................................@..@...........@...........@..
........@..........@.........@........@.....@..............@.@..
................@...........@..............@........@........@..
...@...@...........@.......@.....................@..............
.....@.............@...................@.@................@.....
...@.....@..........@@..........@..........................@....
....@...@..............@..............@.@............@.......@..
.......@....................................@.............@.....
.................@@.....@....@................@.................
.....@..@..........@....@....@@.........@..@....@..@.........@..
..@.......@.@......@..........@.@@....................@....@....
..............@...........................@....@................
.....@...........@.............@....@........................@..
....@......@........@........@......@..........@.....@.@........
..@@....@..........@..@...............@.................@..@....
..................@.........@@.....@.................@......@...
...................@.........@...@.........@........@......@....
..@...@.....@......................................@........@...
@..............@............................@.....@...@@........
............................@............@..@......@............
.............................@.@@..........@....@......@..@.....
.....@.....@................@@@.@......................@..@@....
...@.@...@.........@............@...................@...........
....@..................@.......@@.......@..@..........@....@.@..
.....................@@...@..@...............@.......@..@......@
...................@......@......@............@................@
.......@..@..@.@..@.@..@@..@....@@..........@...................
..................@...........................@@@...@...........
...........................@....@.........@.....................
........@..........@......@........@............................
...............................@..................@.@...........
........................@....................@.......@........@.
..@..........................@..@...@.....@.@.........@.........
@@.........@@@.............@....@..................@........@.@@
[LNS] Agents (start -> goal):
  Agent 0: (42,38) -> (8,9)
  Agent 1: (52,39) -> (41,15)
  Agent 2: (6,48) -> (11,45)
  Agent 3: (62,7) -> (7,55)
  Agent 4: (10,0) -> (63,40)
  Agent 5: (22,63) -> (39,41)
  Agent 6: (35,14) -> (7,41)
  Agent 7: (33,0) -> (41,38)
  Agent 8: (15,24) -> (21,18)
  Agent 9: (45,34) -> (43,33)
  Agent 10: (10,16) -> (4,25)
  Agent 11: (53,19) -> (42,54)
  Agent 12: (4,26) -> (35,27)
  Agent 13: (8,43) -> (56,48)
  Agent 14: (5,0) -> (54,44)
  Agent 15: (39,32) -> (52,61)
  Agent 16: (18,59) -> (19,15)
  Agent 17: (62,51) -> (0,34)
  Agent 18: (33,12) -> (17,62)
  Agent 19: (37,53) -> (30,7)
  Agent 20: (62,0) -> (9,42)
  Agent 21: (5,8) -> (34,25)
  Agent 22: (44,15) -> (45,45)
  Agent 23: (9,28) -> (13,43)
  Agent 24: (8,16) -> (16,26)
  Agent 25: (13,25) -> (53,14)
  Agent 26: (41,45) -> (39,28)
  Agent 27: (44,34) -> (44,40)
  Agent 28: (51,52) -> (45,19)
  Agent 29: (52,63) -> (31,60)
  Agent 30: (46,47) -> (30,12)
  Agent 31: (49,40) -> (63,43)
  Agent 32: (0,56) -> (49,14)
  Agent 33: (48,30) -> (61,60)
  Agent 34: (23,39) -> (28,18)
  Agent 35: (19,62) -> (28,47)
  Agent 36: (59,0) -> (13,57)
  Agent 37: (12,52) -> (60,5)
  Agent 38: (10,53) -> (4,54)
  Agent 39: (2,51) -> (14,17)
  Agent 40: (15,33) -> (19,27)
  Agent 41: (10,14) -> (62,22)
  Agent 42: (2,57) -> (59,22)
  Agent 43: (50,18) -> (48,16)
  Agent 44: (50,33) -> (42,53)
  Agent 45: (54,62) -> (4,55)
  Agent 46: (1,63) -> (52,12)
  Agent 47: (49,30) -> (36,42)
  Agent 48: (35,40) -> (51,52)
  Agent 49: (55,0) -> (15,57)
  Agent 50: (55,56) -> (31,0)
  Agent 51: (53,29) -> (37,17)
  Agent 52: (28,32) -> (20,17)
  Agent 53: (48,24) -> (27,58)
  Agent 54: (50,35) -> (52,37)
  Agent 55: (34,62) -> (7,8)
  Agent 56: (59,61) -> (18,18)
  Agent 57: (55,61) -> (58,53)
  Agent 58: (25,52) -> (25,45)
  Agent 59: (38,62) -> (46,7)
